I0,I1,I2,I3,I4,I5
-0.350999,-0.373147,2.805862,0.000000,0.090354,0.088527
-0.349199,-0.368545,2.864468,58.605190,0.085470,0.077240
-0.347399,-0.365860,2.864468,0.000000,0.080586,0.073798
-0.345599,-0.364326,2.864468,0.000000,0.080586,0.074921
-0.343799,-0.360107,2.849815,-14.652251,0.075702,0.065111
-0.341999,-0.357422,2.849815,0.000000,0.075702,0.061645
-0.340199,-0.354738,2.849815,0.000000,0.075702,0.058111
-0.338399,-0.351670,2.879120,29.304502,0.065934,0.053020
-0.336599,-0.348602,2.908424,29.304502,0.061050,0.047948
-0.334799,-0.347068,2.908424,0.000000,0.061050,0.049087
-0.332999,-0.342466,2.981686,73.261261,0.051282,0.037728
-0.331199,-0.339014,2.981686,0.000000,0.051282,0.031176
-0.329399,-0.336330,2.996338,14.652251,0.046398,0.027680
-0.327599,-0.333262,3.010990,14.652251,0.041514,0.022589
-0.325799,-0.329811,3.010990,0.000000,0.036630,0.015964
-0.323999,-0.326743,3.054947,43.956753,0.031746,0.010911
-0.322199,-0.323675,3.084248,29.300688,0.031746,0.005840
-0.320399,-0.320223,3.098900,14.652251,0.026862,-0.000789
-0.318599,-0.318689,3.098900,0.000000,0.026862,0.000373
-0.316799,-0.313320,3.172161,73.261261,0.021978,-0.014095
